name,research_field,topic
Taylor Reed,Sportwissenschaftliche Fakultät,Effects of different training regimes on athletic performance and recovery in elite athletes
Jamie Jain,Erziehungswissenschaftliche Fakultät,Erkundungen des Einflusses digitaler Technologien auf das Verhalten Schülerinnen und Schüler im Unterrichtsverlauf: Aktuelle Trends und ihre Auswirkungen auf Lernmotivation und sozialen Austausch
Avery Garcia,Philologische Fakultät,Analyse des Verwandlungsumfangs der deutschen Sprache im Laufe der Zeit: Eine Fallstudie zu den sprachlichen Veränderungen im digitalen Zeitalter
Skyler Lee,Juristenfakultät,Analyse der Auswirkungen von Vertragsbedingungen auf die Unternehmensstrategie: Eine Fallstudie zu den Verträgen von großen Silicon Valley-Technologieunternehmen
Robin Smith,Fakultät für Lebenswissenschaften,Die Auswirkungen eines Mangelernährungsstatus auf das Immunsystem von Säugetieren
Morgan O'Hara,Erziehungswissenschaftliche Fakultät,Innovationen in der digitalen Lehr- und Lernumgebung
Kris Campbell,Fakultät für Lebenswissenschaften,Der Einfluss von Pflanzeneinsatz auf die Nährstoffversorgung in der Aquakultur
Skyler O'Hara,Sportwissenschaftliche Fakultät,Die Auswirkungen der körperlichen Aktivität auf die geistige Gesundheit: Eine Untersuchung quantitativer Erkenntnisse
Skyler Thomas,Erziehungswissenschaftliche Fakultät,Entwicklung integrierter Ansätze zur Förderung kritischen Denkens in der Grundschulausbildung – Eine Analyse der Wirksamkeit von verschiedenen methodischen Herangehensweisen.
Charlie Gonzalez,Fakultät für Chemie,Anwendung von Computersimulationen zur Analyse der Reaktionswege bei nicht-homogenen katalytischen Prozessen.
Alex Chen,Sportwissenschaftliche Fakultät,Auswirkungen von Trainingsprogrammen auf athletische Leistungsfähigkeit
Robin Liu,Fakultät für Chemie,Entwicklung von hochaktiven Katalysatoren aus bioabbaubaren Materialien für CO2-Einfangprozesse in der chemischen Industrie
Avery O'Hara,Theologische Fakultät,Umweltethik in der christlichen Tradition: Die Verbindung von Umweltschutz und religiösem Glauben
Bailey Garcia,Medizinische Fakultät,Der Einfluss von Hormonen auf die Entwicklung und Funktion von Zellreaktionen im Gehirn der Alzheimer-Patienten.
Sydney Garcia,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",'Kultur transfer in Mittelalterlichen Europäischen Kunstwerken'
Cameron Campbell,Fakultät für Chemie,"Anwendung von künstlicher Intelligenz in der Entwicklung neuer Verfahren zur synthetisierten Katzenfur
"
Jordan Brooks,Fakultät für Sozialwissenschaften und Philosophie,Soziale Verhältnisse und philosophische Überlegungen: Eine untersuchung zur Macht der Einheit aus Vielfalt
Taylor Clark,Medizinische Fakultät,Analyse der Auswirkungen von Medikamenten auf die Gedächtnisfunktion in Alterspatienten
Skyler Singh,Wirtschaftswissenschaftliche Fakultät,Effekte von digitalen Transformationen auf die globale Beschäftigungspolitik
Reese Davis,Juristenfakultät,"Die Bedeutung von rechtlichen Standards in zeitgenössischer Kunst: Eine Analyse der Auswirkungen auf Kunstschaffende, Kunstbewerter und die Gesellschaft als Ganzes"
Casey Lee,Fakultät für Lebenswissenschaften,"Die genetischen Mechanismen des Lernens in verschiedenen Organismen: Eine Untersuchung von Wirbeltieren, Drosophilen und Pilzen"
Riley Singh,Medizinische Fakultät,Neue Behandlungsmöglichkeiten zur Vorbeugung und Behandlung von akuten Infektionen im Gesundheitswesen: Eine Kombination aus Nanotech-Geldmithtechnologie und Immuntherapie.
Riley Garcia,Fakultät für Mathematik und Informatik,Verbesserung von Algorithmen zur Lösung komplexer Optimierungsaufgaben in der Mathematik und Informatik
Jamie Brooks,Philologische Fakultät,Eine linguistische Untersuchung zur Entwicklung von Sprachvariationen im digitalen Zeitalter: Der Fall des Deutsch-Englischen Sprachkontaktes.
Cameron Chen,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",Die Rolle des Kunsthandwerks in der Entwicklung des Feudalsystems im Mittelalter: Eine interdisziplinäre Analyse der visuellen Kommunikation und Rezeption
Cameron O'Hara,Philologische Fakultät,Wortschatzanalyse von antiken griechischen Texten: Eine Spurensuche nach der Entwicklung der Sprache in der klassischen Zeit
Jamie Lee,Juristenfakultät,Die Rechtsfragen im Zusammenhang mit dem Einsatz von Künstlicher Intelligenz in Rechtsprechung und Gerichtsverfahren: Ein Vergleich der Situation in den USA und Deutschland
Sam Adams,Sportwissenschaftliche Fakultät,Die Auswirkungen von regelmäßiger körperlicher Aktivität auf die kognitive Leistungsfähigkeit bei Studierenden
Riley Chen,Fakultät für Physik und Erdsystemwissenschaften,Der Einfluss von Elektromagnetischen Feldern auf die Schmelzrate von Polargeiern am Beispiel der Arktis.
Sydney Kumar,Philologische Fakultät,Der Einfluss der digitalen Technologie auf die Erforschung antiker Texte: eine Untersuchung von digitalen Werkzeugen zur linguistischen Analyse
Skyler Jain,Philologische Fakultät,Die sprachliche Vielfalt in antiken griechischen Tragödien: Eine linguistisch-philologische Untersuchung der Vokabulare und Spracherweiterungen im Chor und unter den Charakteren.
Bailey Smith,Erziehungswissenschaftliche Fakultät,"Einvernehmliche Verständigung und Konfliktlösung im Unterricht - Eine Analyse der Auswirkungen auf Schülerleistung, soziale Interaktion und Unterrichtserfolg"
Jordan Liu,Fakultät für Mathematik und Informatik,Optimierung von künstlichen neuronalen Netzwerken in maschinellem Lernen
Jamie Lee,Erziehungswissenschaftliche Fakultät,Vergleich der Auswirkungen traditioneller und neuer Methoden in der Schulung von Lehrerinnen und Lehrern an der Erziehungswissenschaftlichen Fakultät
Devon Liu,Erziehungswissenschaftliche Fakultät,Die Auswirkungen digitaler Technologien auf das Lernen und die persönliche Entwicklung von Kindern in Zeiten der COVID-19-Pandemie
